Drop height,Capillary radius,R-s,R-e,Apex Radius,image
2.302649673253679,1.0987262400296745,1.0753490859864898,1.0519719319433054,171.10722685108757,d-3-55.png
2.2855758824676244,1.0878183946934514,1.0473145182952912,1.0010243738402507,172.82296467599136,d-4-05.png
2.279514030787083,1.0904545490788082,1.0614530983054355,1.0299184300818052,172.40516824733157,d-4-55.png
2.2738182923347026,1.084969134413513,1.0561135723280473,1.0214868978254883,173.276818701045,d-5-05.png
2.2483367778569905,1.0867919463298497,1.0522906147003306,1.000538617256052,173.90633104916023,d-5-55.png
2.2431643888810546,1.073065916309512,1.0445269291736208,1.0179820212135218,175.19892966740528,d-6-05.png
2.2567260551931514,1.0795534309829833,1.0508419035632233,1.02295378055782,174.14608170789407,d-6-55.png
2.265218945612647,1.0808658928303998,1.0521194595104424,1.0218763313913095,173.93462153542052,d-7-05.png
2.287616936634403,1.0915532591047405,1.06252258732004,1.0304827900281515,172.2316327049328,d-7-55.png
2.263986053901411,1.0830264074642881,1.0599832924118564,1.036940177359425,173.5876417271932,d-8-05.png
